,Job,Company,Salary,Location,Posted on,Experience
0,IT Assistant,"HR First Pvt,",N/A,Clifton,"Aug 07, 2025",2 Years
1,Factory Manager - Rice Processing Unit (Port Qasim),"Fulcrum Pvt,",300K - 300K,Karachi,"Aug 07, 2025",3 Years
2,Packing & Inventory Supervisor,"Babji Manufacturing,",43K - 43K,Karachi,"Aug 07, 2025",3 Years
3,Midlevel React Js Developer,"HR Ways,",120K - 120K,Lahore,"Aug 07, 2025",2 Years
4,Brand designer,"SalesSearch,",50K - 50K,", Pakistan","Aug 07, 2025",3 Years
5,Sales Representative,"Tabani Real Estate,",50K - 50K,", Pakistan","Aug 07, 2025",2 Years
6,Content Writer,"Halcyon Medical Centre,",N/A,", Pakistan","Aug 07, 2025",5 Years
7,Management Trainee Officer - HR,"Kidney Centre,",30K - 30K,", Pakistan","Aug 07, 2025",2 Years
8,Hotel Hospitality Assistant,"Red Point Builders and Developers,",N/A,", Pakistan","Aug 07, 2025",2 Years
9,Business Analyst (Collections),"Techsurge Pvt,",N/A,", Pakistan","Aug 07, 2025",3 Years
10,Admission Officer,"Pny Group of Companies,",40K - 40K,Rawalpindi,"Aug 07, 2025",2 Years
11,Camp Boss,"S Zia Ul Haq Sons Pvt,",70K - 70K,Quetta,"Aug 07, 2025",3 Years
12,Executive Customer Experience,"Interwood Mobel,",N/A,", Pakistan","Aug 07, 2025",2 Years
13,WFM Executive (Work Force Management),"Abacus Outsourcing,",50K - 50K,", Pakistan","Aug 07, 2025",2 Years
14,Technical Customer Support,"OrGonize Media,",50K - 50K,Rawalpindi,"Aug 07, 2025",2 Years
15,Assistant Manager QA,"Ghani Metal Rubber Industries,",130K - 130K,", Pakistan","Aug 07, 2025",3 Years
16,Software Engineer – PHP,"Dawat-e-islami Karachi information Technology,",70K - 70K,Karachi,"Aug 07, 2025",3 Years
17,Procurement Executive,"Union Developers Pvt,",N/A,Lahore,"Aug 07, 2025",3 Years
18,Technical Project Manager,"Centrox AI,",120K - 120K,", Pakistan","Aug 07, 2025",2 Years
19,Project Coordinator/Manager,"GrowthRatio Solutions,",70K - 70K,Rawalpindi,"Aug 07, 2025",2 Years
20,Planning Analyst - Supply Chain,"Pharma,",120K - 120K,", Pakistan","Aug 07, 2025",2 Years
21,Front Desk Officer,"Suzuki islamabad Motors Pvt,",25K - 25K,Islamabad,"Aug 07, 2025",2 Years
22,Finance Officer,"Unique Group of Institutions,",90K - 90K,Nankana Sahib,"Aug 07, 2025",3 Years
23,Project Coordinator,"Cyber Advance Solutions Pvt,",N/A,Lahore,"Aug 07, 2025",2 Years
24,Upwork Bidder & Freelance Platform Specialist | Lead Generation & Client Acquisition Pro,"Virtual Hub Pro,",40K - 40K,", Pakistan","Aug 07, 2025",2 Years
25,Quality Assurance (QA) Internship Leading to Job,"Anomoz Softwares,",15K - 15K,", Pakistan","Aug 07, 2025",2 Years
26,PHP - Intern,"Increase Rev,",15K - 15K,Karachi,"Aug 07, 2025",2 Years
27,Remote MERN Stack Developer Trainer,"Webeducatorz,",N/A,", Pakistan","Aug 07, 2025",2 Years
28,IT Officer,"Lolaab Enterprises,",282.55K - 282.55K,", Pakistan","Aug 07, 2025",6 Years
29,Property Transfer Documentation Officer,"Qlinks Properties,",50K - 50K,Lahore,"Aug 07, 2025",2 Years
30,Allotment & Possession Officer,"Qlinks Properties,",50K - 50K,Lahore,"Aug 07, 2025",2 Years
31,Client Success & Billing Executive,"NextBridge,",80K - 80K,", Pakistan","Aug 07, 2025",2 Years
32,Recruitment Specialist – BPO Industry (Bulk Hiring Expert),"Sybrid Pvt,",50K - 50K,", Pakistan","Aug 07, 2025",2 Years
33,Customer Service Coordinator,"AA Tracker Pvt,",35K - 35K,Karachi,"Aug 07, 2025",2 Years
34,Customer Service Specialist (International Project),"Abacus Outsourcing,",60K - 60K,", Pakistan","Aug 07, 2025",2 Years
35,Assistant Executive,"Accountech Business Consultants and Pvt,",50K - 50K,Faisalabad,"Aug 07, 2025",2 Years
36,Appointment Setter (Night Shift) - Estimation Campaign,"TECH BPO PRIVATE,",40K - 40K,Lahore,"Aug 07, 2025",2 Years
37,Project Support Officer,"Ahmed Abdullah Hamad Al-Essa Company,",80K - 80K,", Pakistan","Aug 07, 2025",2 Years
38,Shopify & Wordpress Developer,"ThirdEye HR,",40K - 40K,", Pakistan","Aug 07, 2025",2 Years
